Feature,Coefficient,Model
MP_SNGPNT,-272.58606540456026,Linear
EP_LIMENG,-594.70962199383,Linear
MP_LIMENG,1363.106297297759,Linear
EP_MINRTY,-176.56665815276656,Linear
MP_MINRTY,-57.93035041006496,Linear
EP_MUNIT,109.95517667352306,Linear
MP_MUNIT,87.05472500394058,Linear
EP_MOBILE,522.7601059537208,Linear
MP_MOBILE,-119.56399763905611,Linear
EP_CROWD,382.54867381569574,Linear
MP_CROWD,-272.02889284667947,Linear
EP_NOVEH,27.152322629654748,Linear
MP_NOVEH,39.227494125529404,Linear
EP_GROUPQ,-189.54618823083229,Linear
MP_GROUPQ,452.8275935711863,Linear
EPL_POV150,173.61670927229602,Linear
EPL_UNEMP,-92.53307580586011,Linear
EPL_HBURD,449.1751362259015,Linear
EPL_NOHSDP,0.09445719352200399,Linear
EPL_UNINSUR,-703.7574285593331,Linear
SPL_THEME1,-49.61412146258044,Linear
RPL_THEME1,350.84229103283405,Linear
EPL_AGE65,6.627002038249486,Linear
EPL_AGE17,106.50977929995746,Linear
EPL_DISABL,76.66681711443869,Linear
EPL_SNGPNT,312.49018575744606,Linear
EPL_LIMENG,-378.820636984005,Linear
SPL_THEME2,54.59225455507976,Linear
RPL_THEME2,-51.02218685341359,Linear
EPL_MINRTY,-195.93188781672922,Linear
SPL_THEME3,-195.93188781672922,Linear
RPL_THEME3,-195.93188781672922,Linear
EPL_MUNIT,498.02923491944915,Linear
EPL_MOBILE,163.68884907339248,Linear
EPL_CROWD,52.41460787155728,Linear
EPL_NOVEH,643.9271851591805,Linear
EPL_GROUPQ,-446.6278453901122,Linear
SPL_THEME4,430.2044907849735,Linear
RPL_THEME4,437.9807547099113,Linear
SPL_THEMES,91.99167257049155,Linear
RPL_THEMES,365.9695541585599,Linear
F_POV150,458.27818226834813,Linear
F_UNEMP,-219.32884786455358,Linear
F_HBURD,-74.08729601090872,Linear
F_NOHSDP,240.16070884220238,Linear
F_UNINSUR,90.27851351455777,Linear
F_THEME1,183.11383665122577,Linear
F_AGE65,-337.9286894464294,Linear
F_AGE17,1024.4954301257008,Linear
F_DISABL,148.11419713143619,Linear
F_SNGPNT,-1061.2728434668438,Linear
F_LIMENG,471.5772149978968,Linear
F_THEME2,290.10610287275495,Linear
F_MINRTY,659.8914313207088,Linear
F_THEME3,659.8914313207088,Linear
F_MUNIT,-163.98553146165625,Linear
F_MOBILE,-322.83636100296235,Linear
F_CROWD,384.9973830083171,Linear
F_NOVEH,-507.4743275987412,Linear
F_GROUPQ,-350.5015144600635,Linear
F_THEME4,-426.21316264215386,Linear
F_TOTAL,132.55697743979084,Linear
E_DAYPOP,608.547871759505,Linear
E_NOINT,429.94676746865133,Linear
M_NOINT,-490.36734193906966,Linear
E_AFAM,666.8120682820953,Linear
M_AFAM,232.93080856699748,Linear
E_HISP,-1.4421843468429074,Linear
M_HISP,-125.20591264357333,Linear
E_ASIAN,1009.8870053274738,Linear
M_ASIAN,313.73386775547493,Linear
E_AIAN,-580.8764424464196,Linear
M_AIAN,331.12707765732864,Linear
E_NHPI,-2607.7167930723795,Linear
M_NHPI,-367.00614507104433,Linear
E_TWOMORE,-58.002816752615786,Linear
M_TWOMORE,607.0696524009206,Linear
E_OTHERRACE,345.3767169304688,Linear
M_OTHERRACE,161.92179408227548,Linear
EP_NOINT,-35.535176737189715,Linear
MP_NOINT,-557.1118433988049,Linear
EP_AFAM,-204.00054984818462,Linear
MP_AFAM,-244.5385124420672,Linear
EP_HISP,315.0442522867745,Linear
MP_HISP,-125.20591264357324,Linear
EP_ASIAN,1271.5489499925916,Linear
MP_ASIAN,119.96323341988011,Linear
EP_AIAN,-477.93103340653784,Linear
MP_AIAN,168.8729537040133,Linear
EP_NHPI,-23.39672824475636,Linear
MP_NHPI,945.5149384095248,Linear
EP_TWOMORE,-844.0821096432917,Linear
MP_TWOMORE,489.0929353080041,Linear
EP_OTHERRACE,371.10233005540147,Linear
MP_OTHERRACE,-340.5258488950526,Linear
RUCC_2013,947.2320677698332,Linear
UIC_2013,199.8855218061101,Linear
HPSA_PrimaryCare_2023,638.3321809038994,Linear
HPSA_Dental_2023,-384.11061301231655,Linear
HPSA_Mental_2023,-380.21313857365897,Linear
MDs_All_2021,-1009.1511942187692,Linear
MDs_PrimaryCare_perCap_2021,790.9760688451195,Linear
MDs_FamilyMed_2021,1058.464753673859,Linear
MDs_InternalMed_2021,-1195.359327215684,Linear
MDs_Pediatrics_2021,673.8718746321299,Linear
Age_Group_Less_than_1_year,2122.9621398230256,Linear
Age_Group_or_more_years,2404.309721289561,Linear
Age_Group_years,2968.173719423488,Linear
Payer_Court/Law_Enforcement,1367.8285822953446,Linear
"Payer_Discharged,_transferred_to_acute_facility",2050.588624543348,Linear
"Payer_Discharged,_transferred_to_facility_that_provides_nursing,_custodial,_or_supportive_care",102.93334630467518,Linear
"Payer_Discharged,_transferred_to_long_term_acute_care_facility_(LTAC)",29.860949856026167,Linear
"Payer_Discharged,_transferred_to_psychiatric_facility",1584.4966667922795,Linear
"Payer_Discharged,_transferred_to_rehab_facility",297.6767389773114,Linear
Payer_Expired,943.4164439385586,Linear
Payer_GA,1023.6181664468786,Linear
Payer_Hospice,-567.3683845756384,Linear
Payer_Left_against_medical_advice,1811.7965965366798,Linear
Payer_Medicaid,3087.0132150501986,Linear
Payer_Medicare,3466.8595440533727,Linear
Payer_Other,137.4062700155231,Linear
Payer_Other_government,1948.1232272477043,Linear
Payer_Other/Unknown,1443.3519758361151,Linear
"Payer_Patient_Disposition_Home,_self,_or_outpatient_care",3019.7535836872885,Linear
Payer_Patient_Residence_State_NC,2990.9675153559365,Linear
Payer_SC,1654.559937332256,Linear
Payer_TN,167.17084844373676,Linear
Payer_Total_Number_of_Visits,765.024826818256,Linear
Payer_Uninsured,2061.908618185458,Linear
Payer_Unknown,343.7781779076623,Linear
Payer_VA,544.2965275012625,Linear
Point_of_Origin_Court/law_enforcement,-992.9097754562899,Linear
Point_of_Origin_Information_not_available,181.9590903019989,Linear
Point_of_Origin_Newborn,114.77882718936371,Linear
"Point_of_Origin_Transfer_from_a_SNF,_ICF,_ALF",2171.307423534514,Linear
Point_of_Origin_Transfer_from_a_hospital_or_other_health_care_facility,423.086329437231,Linear
Point_of_Origin_s_office,644.3958557266649,Linear
Race_African_American,2473.1522110034994,Linear
Race_American_Indian,276.80407070968226,Linear
Race_Asian/Pacific_Islander,1784.6197195569391,Linear
Race_Caucasian,3694.8154455274043,Linear
Race_Ethnicity_Hispanic,1845.7397948312323,Linear
Race_Ethnicity_Non_Hispanic,0.0,Linear
Race_Non_Hispanic,3075.5455113308017,Linear
Race_Other_Race,946.8228831968047,Linear
Race_Unavailable,1702.9555806855883,Linear
Race_Unknown,582.2242846292978,Linear
ACCESS2_age-adjusted_prevalence,-106.27748915922277,Linear
ACCESS2_crude_prevalence,-823.5694382707987,Linear
BINGE_age-adjusted_prevalence,-842.6890221421329,Linear
BINGE_crude_prevalence,-712.7597428144055,Linear
BPMED_age-adjusted_prevalence,161.53632350126566,Linear
BPMED_crude_prevalence,233.41978313934524,Linear
CANCER_age-adjusted_prevalence,-156.77743964392582,Linear
CANCER_crude_prevalence,-121.83718568308137,Linear
CASTHMA_age-adjusted_prevalence,699.6248965742698,Linear
CASTHMA_crude_prevalence,817.0840508245037,Linear
CHD_age-adjusted_prevalence,164.92442905985106,Linear
CHD_crude_prevalence,-145.28692077249093,Linear
CHECKUP_age-adjusted_prevalence,-530.5502516150711,Linear
CHECKUP_crude_prevalence,-557.7152945594579,Linear
CHOLSCREEN_age-adjusted_prevalence,334.27653821788385,Linear
CHOLSCREEN_crude_prevalence,-228.3722177691809,Linear
COGNITION_age-adjusted_prevalence,72.18680429131393,Linear
COGNITION_crude_prevalence,136.16399195867274,Linear
COLON_SCREEN_age-adjusted_prevalence,-230.91730233772924,Linear
COLON_SCREEN_crude_prevalence,-796.8181260741069,Linear
CSMOKING_age-adjusted_prevalence,-451.6875091560762,Linear
CSMOKING_crude_prevalence,-385.870504806973,Linear
DENTAL_age-adjusted_prevalence,-152.62369187605518,Linear
DENTAL_crude_prevalence,-80.72160868409998,Linear
DIABETES_age-adjusted_prevalence,-185.43535610999854,Linear
DIABETES_crude_prevalence,-364.9304533155272,Linear
DISABILITY_age-adjusted_prevalence,-102.24760997357208,Linear
DISABILITY_crude_prevalence,-172.91747022618958,Linear
EMOTIONSPT_age-adjusted_prevalence,29.56316910730567,Linear
EMOTIONSPT_crude_prevalence,-297.2030247922134,Linear
FOODINSECU_age-adjusted_prevalence,-240.1399986586219,Linear
FOODINSECU_crude_prevalence,-412.71202416438524,Linear
FOODSTAMP_age-adjusted_prevalence,-381.1926878751319,Linear
FOODSTAMP_crude_prevalence,-535.4695615737871,Linear
GHLTH_age-adjusted_prevalence,-42.29792216663661,Linear
GHLTH_crude_prevalence,-78.16750432327159,Linear
HEARING_age-adjusted_prevalence,126.03675363564484,Linear
HEARING_crude_prevalence,-149.28491936587773,Linear
HOUSINSECU_age-adjusted_prevalence,100.31850605618594,Linear
HOUSINSECU_crude_prevalence,-39.31811807184201,Linear
INDEPLIVE_age-adjusted_prevalence,146.28277387622802,Linear
INDEPLIVE_crude_prevalence,-31.113579607105265,Linear
ISOLATION_age-adjusted_prevalence,270.39497723198065,Linear
ISOLATION_crude_prevalence,109.35418191371352,Linear
LACKTRPT_age-adjusted_prevalence,-59.7391025930923,Linear
LACKTRPT_crude_prevalence,-149.60368424333234,Linear
LPA_age-adjusted_prevalence,104.17155464727654,Linear
LPA_crude_prevalence,-16.93622822424456,Linear
MAMMOUSE_age-adjusted_prevalence,241.8917823213959,Linear
MAMMOUSE_crude_prevalence,275.68293084998686,Linear
MHLTH_age-adjusted_prevalence,374.32820496557315,Linear
MHLTH_crude_prevalence,418.68407797722,Linear
MOBILITY_age-adjusted_prevalence,-67.81404707125583,Linear
MOBILITY_crude_prevalence,-186.13552343534002,Linear
OBESITY_age-adjusted_prevalence,792.4540036866138,Linear
OBESITY_crude_prevalence,604.5549850622622,Linear
PHLTH_age-adjusted_prevalence,-136.61441426768633,Linear
PHLTH_crude_prevalence,-163.78235039684023,Linear
SELFCARE_age-adjusted_prevalence,-158.96080396371616,Linear
SELFCARE_crude_prevalence,-369.80242114262376,Linear
SHUTUTILITY_age-adjusted_prevalence,20.862705992700654,Linear
SHUTUTILITY_crude_prevalence,-119.03056809069517,Linear
SLEEP_age-adjusted_prevalence,78.81572239024524,Linear
SLEEP_crude_prevalence,-39.75013399670269,Linear
STROKE_age-adjusted_prevalence,-340.28528645594076,Linear
STROKE_crude_prevalence,-170.76688306754016,Linear
VISION_age-adjusted_prevalence,13.801911002686097,Linear
VISION_crude_prevalence,-233.07893382542392,Linear
AVG_MA_Enrollments_2023_FY,613.5043295023554,Ridge
AVG_MC_Enrollees,581.7231909383722,Ridge
AREA_SQMI,-1388.152516607451,Ridge
E_TOTPOP,527.9569571312268,Ridge
M_TOTPOP,0.0,Ridge
E_HU,607.540309788501,Ridge
M_HU,-2.2043162427344214,Ridge
E_HH,542.7995173248555,Ridge
M_HH,645.4173883305618,Ridge
E_POV150,421.12356849563275,Ridge
M_POV150,36.09786343756787,Ridge
E_UNEMP,800.8301105962553,Ridge
M_UNEMP,461.344031545367,Ridge
E_HBURD,635.7703367626382,Ridge
M_HBURD,755.8322587062296,Ridge
E_NOHSDP,280.22336532709323,Ridge
M_NOHSDP,-397.88771461195984,Ridge
E_UNINSUR,243.80896286437383,Ridge
M_UNINSUR,-968.139401005215,Ridge
E_AGE65,560.5673780964321,Ridge
M_AGE65,711.4668776295364,Ridge
E_AGE17,523.3730223369214,Ridge
M_AGE17,902.6296320065476,Ridge
E_DISABL,94.98104913534962,Ridge
M_DISABL,-367.0201556144441,Ridge
E_SNGPNT,693.8060825226307,Ridge
M_SNGPNT,-368.79069455164654,Ridge
E_LIMENG,323.7905802387854,Ridge
M_LIMENG,65.5550167492147,Ridge
E_MINRTY,470.68324956482775,Ridge
M_MINRTY,615.2018207714474,Ridge
E_MUNIT,964.0091463682327,Ridge
M_MUNIT,651.9606513526242,Ridge
E_MOBILE,-174.8170523607235,Ridge
M_MOBILE,-122.44482927702585,Ridge
E_CROWD,531.1918344686496,Ridge
M_CROWD,318.60456625473057,Ridge
E_NOVEH,564.3606604354991,Ridge
M_NOVEH,388.4652779519006,Ridge
E_GROUPQ,-531.9481477217423,Ridge
M_GROUPQ,-164.005008950523,Ridge
EP_POV150,-525.797814789983,Ridge
MP_POV150,-8.431349143642137,Ridge
EP_UNEMP,-315.69437563613076,Ridge
MP_UNEMP,-442.6171275057959,Ridge
EP_HBURD,-150.8276714195158,Ridge
MP_HBURD,634.2238444207735,Ridge
EP_NOHSDP,-143.2294969947327,Ridge
MP_NOHSDP,105.17255351144604,Ridge
EP_UNINSUR,-1103.4013352214133,Ridge
MP_UNINSUR,-120.49350904175981,Ridge
EP_AGE65,-171.71131748392463,Ridge
MP_AGE65,-433.1832705425094,Ridge
EP_AGE17,601.5202115256973,Ridge
MP_AGE17,-615.4964332525203,Ridge
EP_DISABL,29.38708616556505,Ridge
MP_DISABL,-49.32895952245576,Ridge
EP_SNGPNT,31.900047506751662,Ridge
MP_SNGPNT,-272.55014378834153,Ridge
EP_LIMENG,-594.6665095884105,Ridge
MP_LIMENG,1363.081730071492,Ridge
EP_MINRTY,-176.52682090143367,Ridge
MP_MINRTY,-57.986530075175324,Ridge
EP_MUNIT,110.00648580447842,Ridge
MP_MUNIT,87.13316343339784,Ridge
EP_MOBILE,522.7541514765571,Ridge
MP_MOBILE,-119.5082576266982,Ridge
EP_CROWD,382.51477305752746,Ridge
MP_CROWD,-272.01612152351663,Ridge
EP_NOVEH,27.173113980267544,Ridge
MP_NOVEH,39.22507455971936,Ridge
EP_GROUPQ,-189.6127671285917,Ridge
MP_GROUPQ,452.7731427969969,Ridge
EPL_POV150,173.60244178429127,Ridge
EPL_UNEMP,-92.49662121596782,Ridge
EPL_HBURD,449.1747819341522,Ridge
EPL_NOHSDP,0.05969812903094862,Ridge
EPL_UNINSUR,-703.7255572368545,Ridge
SPL_THEME1,-49.60930733957514,Ridge
RPL_THEME1,350.7280405586823,Ridge
EPL_AGE65,6.621212445392757,Ridge
EPL_AGE17,106.57739014352433,Ridge
EPL_DISABL,76.65900286707665,Ridge
EPL_SNGPNT,312.50826354798346,Ridge
EPL_LIMENG,-378.76842549871117,Ridge
SPL_THEME2,54.65691634011796,Ridge
RPL_THEME2,-51.00134989686171,Ridge
EPL_MINRTY,-195.89267161176622,Ridge
SPL_THEME3,-195.89267161176622,Ridge
RPL_THEME3,-195.89267161176622,Ridge
EPL_MUNIT,498.05169321203357,Ridge
EPL_MOBILE,163.712377670121,Ridge
EPL_CROWD,52.429184107858816,Ridge
EPL_NOVEH,643.8785745876853,Ridge
EPL_GROUPQ,-446.6291138469005,Ridge
SPL_THEME4,430.2084919944373,Ridge
RPL_THEME4,437.95156657087136,Ridge
SPL_THEMES,92.01747080871269,Ridge
RPL_THEMES,365.9330654661453,Ridge
F_POV150,458.14264899265993,Ridge
F_UNEMP,-219.3662668374369,Ridge
F_HBURD,-74.10207885407328,Ridge
F_NOHSDP,240.16587363861834,Ridge
F_UNINSUR,90.30870336754714,Ridge
F_THEME1,183.05392829364158,Ridge
F_AGE65,-337.8413728884178,Ridge
F_AGE17,1024.4239880581538,Ridge
F_DISABL,148.17678625383454,Ridge
F_SNGPNT,-1061.278358318678,Ridge
F_LIMENG,471.4568670709642,Ridge
F_THEME2,290.06931645768805,Ridge
F_MINRTY,659.8719980818134,Ridge
F_THEME3,659.8719980818134,Ridge
F_MUNIT,-164.02092035381293,Ridge
F_MOBILE,-322.80315657984613,Ridge
F_CROWD,384.92528353412933,Ridge
F_NOVEH,-507.4277177844666,Ridge
F_GROUPQ,-350.43743300929134,Ridge
F_THEME4,-426.2010941442138,Ridge
F_TOTAL,132.52137909860903,Ridge
E_DAYPOP,608.5613242499016,Ridge
E_NOINT,429.98741137655816,Ridge
M_NOINT,-490.3262391046683,Ridge
E_AFAM,666.8175941550621,Ridge
M_AFAM,232.94389739559801,Ridge
E_HISP,-1.3580301416859584,Ridge
M_HISP,-125.17770949752398,Ridge
E_ASIAN,1009.8876057214484,Ridge
M_ASIAN,313.7896777101928,Ridge
E_AIAN,-580.8457575212103,Ridge
M_AIAN,331.0240870109533,Ridge
E_NHPI,-2607.630372902039,Ridge
M_NHPI,-366.9564179237143,Ridge
E_TWOMORE,-57.97901052728048,Ridge
M_TWOMORE,607.0107995212211,Ridge
E_OTHERRACE,345.3664093033535,Ridge
M_OTHERRACE,161.99755578964005,Ridge
EP_NOINT,-35.51548248988888,Ridge
MP_NOINT,-557.0649791916235,Ridge
EP_AFAM,-203.94695358643094,Ridge
MP_AFAM,-244.5096760148491,Ridge
EP_HISP,314.96970204738477,Ridge
MP_HISP,-125.17770949752389,Ridge
EP_ASIAN,1271.4650176574896,Ridge
MP_ASIAN,120.01249187286646,Ridge
EP_AIAN,-477.8710335779235,Ridge
MP_AIAN,168.8985973066957,Ridge
EP_NHPI,-23.30915875072145,Ridge
MP_NHPI,945.3480246776983,Ridge
EP_TWOMORE,-844.1097381916754,Ridge
MP_TWOMORE,489.01959890019225,Ridge
EP_OTHERRACE,371.0519092519015,Ridge
MP_OTHERRACE,-340.4213815290507,Ridge
RUCC_2013,947.114198105908,Ridge
UIC_2013,199.80685203617725,Ridge
HPSA_PrimaryCare_2023,638.2736490364291,Ridge
HPSA_Dental_2023,-384.1017804505875,Ridge
HPSA_Mental_2023,-380.19790889879204,Ridge
MDs_All_2021,-1009.045803834646,Ridge
MDs_PrimaryCare_perCap_2021,790.9708472856187,Ridge
MDs_FamilyMed_2021,1058.4167786468315,Ridge
MDs_InternalMed_2021,-1195.2125135960832,Ridge
MDs_Pediatrics_2021,673.8674060176231,Ridge
Age_Group_Less_than_1_year,2122.8510501610044,Ridge
Age_Group_or_more_years,2404.2697279731724,Ridge
Age_Group_years,2968.05589985726,Ridge
Payer_Court/Law_Enforcement,1367.833788054811,Ridge
"Payer_Discharged,_transferred_to_acute_facility",2050.7401887377205,Ridge
"Payer_Discharged,_transferred_to_facility_that_provides_nursing,_custodial,_or_supportive_care",103.16740636633267,Ridge
"Payer_Discharged,_transferred_to_long_term_acute_care_facility_(LTAC)",29.821281604867636,Ridge
"Payer_Discharged,_transferred_to_psychiatric_facility",1584.4429589794224,Ridge
"Payer_Discharged,_transferred_to_rehab_facility",297.67676582723016,Ridge
Payer_Expired,943.3689985600777,Ridge
Payer_GA,1023.6999007756838,Ridge
Payer_Hospice,-567.3021434041921,Ridge
Payer_Left_against_medical_advice,1811.7108637334122,Ridge
Payer_Medicaid,3086.8554044044386,Ridge
Payer_Medicare,3466.7571407940004,Ridge
Payer_Other,137.4963555468803,Ridge
Payer_Other_government,1948.0698164303753,Ridge
Payer_Other/Unknown,1443.3420509728076,Ridge
"Payer_Patient_Disposition_Home,_self,_or_outpatient_care",3019.629328885293,Ridge
Payer_Patient_Residence_State_NC,2990.8432909797802,Ridge
Payer_SC,1654.537255158166,Ridge
Payer_TN,167.29055266981527,Ridge
Payer_Total_Number_of_Visits,765.0702894347226,Ridge
Payer_Uninsured,2061.879182879602,Ridge
Payer_Unknown,343.8202507954551,Ridge
Payer_VA,544.3195248301663,Ridge
Point_of_Origin_Court/law_enforcement,-992.9131732318583,Ridge
Point_of_Origin_Information_not_available,181.85302296670935,Ridge
Point_of_Origin_Newborn,114.7860561118532,Ridge
"Point_of_Origin_Transfer_from_a_SNF,_ICF,_ALF",2171.1213357726547,Ridge
Point_of_Origin_Transfer_from_a_hospital_or_other_health_care_facility,423.0742360803397,Ridge
Point_of_Origin_s_office,644.3143989221722,Ridge
Race_African_American,2473.0732030141385,Ridge
Race_American_Indian,276.92241930657394,Ridge
Race_Asian/Pacific_Islander,1784.596245724257,Ridge
Race_Caucasian,3694.627335885462,Ridge
Race_Ethnicity_Hispanic,1845.749285146576,Ridge
Race_Ethnicity_Non_Hispanic,0.0,Ridge
Race_Non_Hispanic,3075.4124696443687,Ridge
Race_Other_Race,946.8119093384832,Ridge
Race_Unavailable,1702.9616845836763,Ridge
Race_Unknown,582.2061397805468,Ridge
ACCESS2_age-adjusted_prevalence,-106.21876795858589,Ridge
ACCESS2_crude_prevalence,-823.4012475010194,Ridge
BINGE_age-adjusted_prevalence,-842.6603689603088,Ridge
BINGE_crude_prevalence,-712.7175081915676,Ridge
BPMED_age-adjusted_prevalence,161.5251762301516,Ridge
BPMED_crude_prevalence,233.40604257052473,Ridge
CANCER_age-adjusted_prevalence,-156.73530672954007,Ridge
CANCER_crude_prevalence,-121.83212902181117,Ridge
CASTHMA_age-adjusted_prevalence,699.5422600645527,Ridge
CASTHMA_crude_prevalence,817.0064996544751,Ridge
CHD_age-adjusted_prevalence,164.86111992777,Ridge
CHD_crude_prevalence,-145.30954481739536,Ridge
CHECKUP_age-adjusted_prevalence,-530.6375384340652,Ridge
CHECKUP_crude_prevalence,-557.7520793041753,Ridge
CHOLSCREEN_age-adjusted_prevalence,334.186335648561,Ridge
CHOLSCREEN_crude_prevalence,-228.35654506639776,Ridge
COGNITION_age-adjusted_prevalence,72.1807046350466,Ridge
COGNITION_crude_prevalence,136.13642541718195,Ridge
COLON_SCREEN_age-adjusted_prevalence,-230.8961642199622,Ridge
COLON_SCREEN_crude_prevalence,-796.7603524099576,Ridge
CSMOKING_age-adjusted_prevalence,-451.66648407102093,Ridge
CSMOKING_crude_prevalence,-385.8855953065306,Ridge
DENTAL_age-adjusted_prevalence,-152.63925411256514,Ridge
DENTAL_crude_prevalence,-80.73293076182063,Ridge
DIABETES_age-adjusted_prevalence,-185.39369076219924,Ridge
DIABETES_crude_prevalence,-364.8884164911249,Ridge
DISABILITY_age-adjusted_prevalence,-102.23586941493579,Ridge
DISABILITY_crude_prevalence,-172.91158346562793,Ridge
EMOTIONSPT_age-adjusted_prevalence,29.526265997408586,Ridge
EMOTIONSPT_crude_prevalence,-297.21089507963296,Ridge
FOODINSECU_age-adjusted_prevalence,-240.07260959840607,Ridge
FOODINSECU_crude_prevalence,-412.63100312370995,Ridge
FOODSTAMP_age-adjusted_prevalence,-381.0916955497215,Ridge
FOODSTAMP_crude_prevalence,-535.3578086919902,Ridge
GHLTH_age-adjusted_prevalence,-42.298016083088555,Ridge
GHLTH_crude_prevalence,-78.18740270340209,Ridge
HEARING_age-adjusted_prevalence,125.98214680027763,Ridge
HEARING_crude_prevalence,-149.3109678185915,Ridge
HOUSINSECU_age-adjusted_prevalence,100.31413049802879,Ridge
HOUSINSECU_crude_prevalence,-39.3119490732289,Ridge
INDEPLIVE_age-adjusted_prevalence,146.24659531918894,Ridge
INDEPLIVE_crude_prevalence,-31.134069569338635,Ridge
ISOLATION_age-adjusted_prevalence,270.3465453272323,Ridge
ISOLATION_crude_prevalence,109.3317779553779,Ridge
LACKTRPT_age-adjusted_prevalence,-59.718067569055705,Ridge
LACKTRPT_crude_prevalence,-149.57156863234565,Ridge
LPA_age-adjusted_prevalence,104.13952394924377,Ridge
LPA_crude_prevalence,-16.968377447891953,Ridge
MAMMOUSE_age-adjusted_prevalence,241.86745227022413,Ridge
MAMMOUSE_crude_prevalence,275.69051826724507,Ridge
MHLTH_age-adjusted_prevalence,374.2736634711498,Ridge
MHLTH_crude_prevalence,418.6389080927021,Ridge
MOBILITY_age-adjusted_prevalence,-67.8594937853428,Ridge
MOBILITY_crude_prevalence,-186.17063741173934,Ridge
OBESITY_age-adjusted_prevalence,792.3390556868501,Ridge
OBESITY_crude_prevalence,604.4713755874359,Ridge
PHLTH_age-adjusted_prevalence,-136.6351174006229,Ridge
PHLTH_crude_prevalence,-163.82740690357673,Ridge
SELFCARE_age-adjusted_prevalence,-158.9546438883266,Ridge
SELFCARE_crude_prevalence,-369.79432383026597,Ridge
SHUTUTILITY_age-adjusted_prevalence,20.890051561004782,Ridge
SHUTUTILITY_crude_prevalence,-118.98892606491361,Ridge
SLEEP_age-adjusted_prevalence,78.81294901193542,Ridge
SLEEP_crude_prevalence,-39.72614750511184,Ridge
STROKE_age-adjusted_prevalence,-340.2480406816475,Ridge
STROKE_crude_prevalence,-170.7759123233211,Ridge
VISION_age-adjusted_prevalence,13.791010716242795,Ridge
VISION_crude_prevalence,-233.0696734942677,Ridge
AVG_MA_Enrollments_2023_FY,52226.54680387703,Lasso
AVG_MC_Enrollees,7186.55816330642,Lasso
AREA_SQMI,-5119.55244517242,Lasso
E_TOTPOP,1521.8012848125395,Lasso
M_TOTPOP,0.0,Lasso
E_HU,206.5521569997269,Lasso
M_HU,-4858.9843187418155,Lasso
E_HH,2725.9729525778193,Lasso
M_HH,-487.4685217092455,Lasso
E_POV150,-907.6088626373034,Lasso
M_POV150,-772.6215305462124,Lasso
E_UNEMP,2294.6065989383346,Lasso
M_UNEMP,-1279.0399928872907,Lasso
E_HBURD,2170.4038279708184,Lasso
M_HBURD,-1959.1565542979154,Lasso
E_NOHSDP,-372.01573387148215,Lasso
M_NOHSDP,-3199.1243273869527,Lasso
E_UNINSUR,5311.260921418523,Lasso
M_UNINSUR,-3828.8810259535785,Lasso
E_AGE65,-688.6529363689414,Lasso
M_AGE65,2689.134769545351,Lasso
E_AGE17,4125.962933412374,Lasso
M_AGE17,4216.5723932913825,Lasso
