Feature,Coefficient,Model
M_ASIAN,926.5704437388713,Linear
E_AIAN,613.5389639519019,Linear
M_AIAN,627.5941318637579,Linear
E_NHPI,1405.5943335320114,Linear
M_NHPI,1290.441986860699,Linear
E_TWOMORE,963.511736182222,Linear
M_TWOMORE,943.0763721699522,Linear
E_OTHERRACE,753.8797607176534,Linear
M_OTHERRACE,132.1284376342384,Linear
EP_NOINT,-161.86046533249066,Linear
MP_NOINT,-277.2856581547514,Linear
EP_AFAM,411.62055982559514,Linear
MP_AFAM,-54.19152027281986,Linear
EP_HISP,-319.5019486584936,Linear
MP_HISP,0.0,Linear
EP_ASIAN,510.06411323337267,Linear
MP_ASIAN,-322.8614538946505,Linear
EP_AIAN,325.3953625975664,Linear
MP_AIAN,406.6932533282078,Linear
EP_NHPI,150.7082846337093,Linear
MP_NHPI,450.1366742349725,Linear
EP_TWOMORE,-422.00316756982295,Linear
MP_TWOMORE,-129.89910107889108,Linear
EP_OTHERRACE,108.18689770491632,Linear
MP_OTHERRACE,91.13592719895199,Linear
RUCC_2013,173.95295342082846,Linear
UIC_2013,-66.41342259071688,Linear
HPSA_PrimaryCare_2023,225.23936136502886,Linear
HPSA_Dental_2023,225.23936136502886,Linear
HPSA_Mental_2023,-952.1100146105462,Linear
MDs_All_2021,1099.3187993067402,Linear
MDs_PrimaryCare_perCap_2021,1102.114138090937,Linear
MDs_FamilyMed_2021,1028.0001698778321,Linear
MDs_InternalMed_2021,1053.7841242162542,Linear
MDs_Pediatrics_2021,1324.236201501183,Linear
Age_Group_Less_than_1_year,1353.3928359306435,Linear
Age_Group_or_more_years,1058.230832527924,Linear
Age_Group_years,1315.3679287811817,Linear
Payer_Court/Law_Enforcement,1289.3971729402126,Linear
"Payer_Discharged,_transferred_to_acute_facility",1639.8955677302797,Linear
"Payer_Discharged,_transferred_to_facility_that_provides_nursing,_custodial,_or_supportive_care",1177.5268151259443,Linear
"Payer_Discharged,_transferred_to_long_term_acute_care_facility_(LTAC)",849.4738935800319,Linear
"Payer_Discharged,_transferred_to_psychiatric_facility",1391.8821163529324,Linear
"Payer_Discharged,_transferred_to_rehab_facility",1486.1855948111884,Linear
Payer_Expired,1028.017744220783,Linear
Payer_GA,1281.144766028987,Linear
Payer_Hospice,1337.1813157866072,Linear
Payer_Left_against_medical_advice,1395.4122028772165,Linear
Payer_Medicaid,1267.8421966887431,Linear
Payer_Medicare,1371.994862293642,Linear
Payer_Other,392.55774484020105,Linear
Payer_Other_government,1402.1871098817412,Linear
Payer_Other/Unknown,961.2344236894785,Linear
"Payer_Patient_Disposition_Home,_self,_or_outpatient_care",1296.1301047129452,Linear
Payer_Patient_Residence_State_NC,1296.1623651303262,Linear
Payer_SC,1164.92308335747,Linear
Payer_TN,1357.5961138558453,Linear
Payer_Total_Number_of_Visits,1615.9740593611793,Linear
Payer_Uninsured,1173.5081861669719,Linear
Payer_Unknown,0.0,Linear
Payer_VA,224.8440536487696,Linear
Point_of_Origin_Court/law_enforcement,1183.429605326288,Linear
Point_of_Origin_Information_not_available,279.5057236986214,Linear
Point_of_Origin_Newborn,0.0,Linear
"Point_of_Origin_Transfer_from_a_SNF,_ICF,_ALF",1340.5217362764809,Linear
Point_of_Origin_Transfer_from_a_hospital_or_other_health_care_facility,1348.1492648044205,Linear
Point_of_Origin_s_office,297.9939000714276,Linear
Race_African_American,1151.5337940903094,Linear
Race_American_Indian,835.7215032722808,Linear
Race_Asian/Pacific_Islander,1256.5624737002001,Linear
Race_Caucasian,1421.8322860541193,Linear
Race_Ethnicity_Hispanic,1436.8796704821273,Linear
Race_Ethnicity_Non_Hispanic,461.5146289624031,Linear
Race_Non_Hispanic,1281.1789552427153,Linear
Race_Other_Race,614.0591553818178,Linear
Race_Unavailable,1506.2306146677045,Linear
Race_Unknown,1609.3436507615745,Linear
ACCESS2_age-adjusted_prevalence,129.5578411879776,Linear
ACCESS2_crude_prevalence,-59.561010777042405,Linear
BINGE_age-adjusted_prevalence,390.74202154606814,Linear
BINGE_crude_prevalence,737.0141631470362,Linear
BPMED_age-adjusted_prevalence,377.74688374728913,Linear
BPMED_crude_prevalence,-368.4724878110477,Linear
CANCER_age-adjusted_prevalence,194.16623526649033,Linear
CANCER_crude_prevalence,-366.68551378905664,Linear
CASTHMA_age-adjusted_prevalence,67.18229149690605,Linear
CASTHMA_crude_prevalence,-30.1774228362889,Linear
CHD_age-adjusted_prevalence,-501.80059184231646,Linear
CHD_crude_prevalence,-549.8824491077256,Linear
CHECKUP_age-adjusted_prevalence,504.36043841787097,Linear
CHECKUP_crude_prevalence,-77.6854248525674,Linear
CHOLSCREEN_age-adjusted_prevalence,-162.74752834400778,Linear
CHOLSCREEN_crude_prevalence,-353.91134353484046,Linear
COGNITION_age-adjusted_prevalence,-157.52837823151634,Linear
COGNITION_crude_prevalence,-270.5102511319171,Linear
COLON_SCREEN_age-adjusted_prevalence,7.724090355418958,Linear
COLON_SCREEN_crude_prevalence,-375.3378407725015,Linear
CSMOKING_age-adjusted_prevalence,54.04291896720785,Linear
CSMOKING_crude_prevalence,-23.766165291093397,Linear
DENTAL_age-adjusted_prevalence,-46.841828397474444,Linear
DENTAL_crude_prevalence,-20.427774927230367,Linear
DIABETES_age-adjusted_prevalence,22.380030702024985,Linear
DIABETES_crude_prevalence,-333.63806940394113,Linear
DISABILITY_age-adjusted_prevalence,-306.59005549480116,Linear
DISABILITY_crude_prevalence,-516.8962049263887,Linear
EMOTIONSPT_age-adjusted_prevalence,-77.99105198255715,Linear
EMOTIONSPT_crude_prevalence,34.307126798602845,Linear
FOODINSECU_age-adjusted_prevalence,107.90850874868366,Linear
FOODINSECU_crude_prevalence,197.9975056721023,Linear
FOODSTAMP_age-adjusted_prevalence,142.10409742569456,Linear
FOODSTAMP_crude_prevalence,219.62698266790616,Linear
GHLTH_age-adjusted_prevalence,-183.49380707968115,Linear
GHLTH_crude_prevalence,-355.60521394763424,Linear
HEARING_age-adjusted_prevalence,-548.511497518717,Linear
HEARING_crude_prevalence,-587.9520337575458,Linear
HOUSINSECU_age-adjusted_prevalence,163.19296480776353,Linear
HOUSINSECU_crude_prevalence,329.02654351527144,Linear
INDEPLIVE_age-adjusted_prevalence,-206.5430745600755,Linear
INDEPLIVE_crude_prevalence,-333.0143415645598,Linear
ISOLATION_age-adjusted_prevalence,567.4628190249013,Linear
ISOLATION_crude_prevalence,780.2564708849474,Linear
LACKTRPT_age-adjusted_prevalence,55.66343614704577,Linear
LACKTRPT_crude_prevalence,145.95537271401847,Linear
LPA_age-adjusted_prevalence,-471.4408764601738,Linear
LPA_crude_prevalence,-605.0861996615678,Linear
MAMMOUSE_age-adjusted_prevalence,1190.650730885305,Linear
MAMMOUSE_crude_prevalence,1133.2420360636868,Linear
MHLTH_age-adjusted_prevalence,34.744345089647,Linear
MHLTH_crude_prevalence,97.40851209269421,Linear
MOBILITY_age-adjusted_prevalence,-255.44450898449958,Linear
MOBILITY_crude_prevalence,-442.5147390564101,Linear
OBESITY_age-adjusted_prevalence,586.3407259394565,Linear
OBESITY_crude_prevalence,634.306940551493,Linear
PHLTH_age-adjusted_prevalence,-251.90346655992838,Linear
PHLTH_crude_prevalence,-433.77523804153503,Linear
SELFCARE_age-adjusted_prevalence,-124.70076443215076,Linear
SELFCARE_crude_prevalence,-264.9804888825733,Linear
SHUTUTILITY_age-adjusted_prevalence,202.7776049188028,Linear
SHUTUTILITY_crude_prevalence,354.42929516619466,Linear
SLEEP_age-adjusted_prevalence,791.8275241193357,Linear
SLEEP_crude_prevalence,820.1976424528297,Linear
STROKE_age-adjusted_prevalence,-241.77565126838837,Linear
STROKE_crude_prevalence,-412.8016237318869,Linear
VISION_age-adjusted_prevalence,-143.83217404762874,Linear
VISION_crude_prevalence,-342.3063261726247,Linear
AVG_MA_Enrollments_2023_FY,663.2907708379528,Ridge
AVG_MC_Enrollees,973.5966628816741,Ridge
AREA_SQMI,-824.5475665104118,Ridge
E_TOTPOP,1023.3735745437978,Ridge
M_TOTPOP,0.0,Ridge
E_HU,1061.8026141003884,Ridge
M_HU,363.37548053695485,Ridge
E_HH,1052.5385342102827,Ridge
M_HH,1094.9603523477047,Ridge
E_POV150,921.5630752823652,Ridge
M_POV150,900.2176023890325,Ridge
E_UNEMP,988.2266015842629,Ridge
M_UNEMP,630.2472970259419,Ridge
E_HBURD,1073.2512644287817,Ridge
M_HBURD,807.5171749650441,Ridge
E_NOHSDP,1013.3832307760497,Ridge
M_NOHSDP,891.7366544739486,Ridge
E_UNINSUR,1150.308892588245,Ridge
M_UNINSUR,891.6359555652123,Ridge
E_AGE65,835.1732771821548,Ridge
M_AGE65,-744.4133329812908,Ridge
E_AGE17,1028.8482367764302,Ridge
M_AGE17,1046.6434591563748,Ridge
E_DISABL,782.3282749310531,Ridge
M_DISABL,840.6453421675844,Ridge
E_SNGPNT,1038.451724833761,Ridge
M_SNGPNT,919.8339657282596,Ridge
E_LIMENG,1190.527090948677,Ridge
M_LIMENG,841.1574659025271,Ridge
E_MINRTY,1044.932839307387,Ridge
M_MINRTY,551.370037596447,Ridge
E_MUNIT,1305.5233412806695,Ridge
M_MUNIT,950.5287311088359,Ridge
E_MOBILE,-85.85097422248899,Ridge
M_MOBILE,-197.04273111258738,Ridge
E_CROWD,932.5461938974297,Ridge
M_CROWD,673.80609724542,Ridge
E_NOVEH,1003.3676958317432,Ridge
M_NOVEH,566.0887617959103,Ridge
E_GROUPQ,-52.77852743196149,Ridge
M_GROUPQ,-37.9339209344451,Ridge
EP_POV150,125.50063016693178,Ridge
MP_POV150,7.4602792035938705,Ridge
EP_UNEMP,13.809141902913694,Ridge
MP_UNEMP,-59.67278796083639,Ridge
EP_HBURD,509.51628258172104,Ridge
MP_HBURD,-236.19057812625783,Ridge
EP_NOHSDP,-0.8170487569511238,Ridge
MP_NOHSDP,-19.70525403041964,Ridge
EP_UNINSUR,312.19549258294103,Ridge
MP_UNINSUR,7.433134492955531,Ridge
EP_AGE65,-426.4199861027513,Ridge
MP_AGE65,450.70255651650064,Ridge
EP_AGE17,-173.04620611386923,Ridge
MP_AGE17,670.0484932643445,Ridge
EP_DISABL,-327.8696355735607,Ridge
MP_DISABL,-113.69409786864875,Ridge
EP_SNGPNT,595.9003163796981,Ridge
MP_SNGPNT,-16.69978842511722,Ridge
EP_LIMENG,-325.22291558896603,Ridge
MP_LIMENG,205.80452205465275,Ridge
EP_MINRTY,322.2236627644918,Ridge
MP_MINRTY,-97.89457947496658,Ridge
EP_MUNIT,1004.9400151430084,Ridge
MP_MUNIT,-318.86227834046156,Ridge
EP_MOBILE,-129.8502763337695,Ridge
MP_MOBILE,-152.56728122630903,Ridge
EP_CROWD,-98.04124391251526,Ridge
MP_CROWD,-227.58696138725037,Ridge
EP_NOVEH,401.81827338008407,Ridge
MP_NOVEH,-61.80824724476747,Ridge
EP_GROUPQ,-302.0174921153728,Ridge
MP_GROUPQ,62.382133524927745,Ridge
EPL_POV150,-86.43871921986513,Ridge
EPL_UNEMP,-325.12358296881536,Ridge
EPL_HBURD,551.59048225646,Ridge
EPL_NOHSDP,-27.639626339178847,Ridge
EPL_UNINSUR,510.34274275104934,Ridge
SPL_THEME1,172.7319555923982,Ridge
RPL_THEME1,-15.583591912632755,Ridge
EPL_AGE65,-164.40233872745415,Ridge
EPL_AGE17,-16.71910110751537,Ridge
EPL_DISABL,-138.6664504333799,Ridge
EPL_SNGPNT,633.4258390202693,Ridge
EPL_LIMENG,-764.0472625498426,Ridge
SPL_THEME2,-320.3491522158271,Ridge
RPL_THEME2,-229.81578535243287,Ridge
EPL_MINRTY,273.13339088426926,Ridge
SPL_THEME3,273.13339088426926,Ridge
RPL_THEME3,273.13339088426926,Ridge
EPL_MUNIT,172.0125549885846,Ridge
EPL_MOBILE,20.315375000907068,Ridge
EPL_CROWD,-323.4560607326444,Ridge
EPL_NOVEH,390.38545830972953,Ridge
EPL_GROUPQ,-515.2809797133268,Ridge
SPL_THEME4,-57.09886338724209,Ridge
RPL_THEME4,-246.80829745839608,Ridge
SPL_THEMES,31.106520347266667,Ridge
RPL_THEMES,7.420716375329732,Ridge
F_POV150,314.1460270035314,Ridge
F_UNEMP,314.1460270035314,Ridge
F_HBURD,0.0,Ridge
F_NOHSDP,0.0,Ridge
F_UNINSUR,0.0,Ridge
F_THEME1,314.1460270035314,Ridge
F_AGE65,0.0,Ridge
F_AGE17,-198.96786519150493,Ridge
F_DISABL,0.0,Ridge
F_SNGPNT,314.1460270035314,Ridge
F_LIMENG,369.91914875746005,Ridge
F_THEME2,343.53422667260446,Ridge
F_MINRTY,0.0,Ridge
F_THEME3,0.0,Ridge
F_MUNIT,534.552867813028,Ridge
F_MOBILE,0.0,Ridge
F_CROWD,-370.4207790748519,Ridge
F_NOVEH,314.1460270035314,Ridge
F_GROUPQ,0.0,Ridge
F_THEME4,270.53508698260737,Ridge
F_TOTAL,388.23381847020096,Ridge
E_DAYPOP,1055.150744564494,Ridge
E_NOINT,749.3322475484919,Ridge
M_NOINT,374.92420529769663,Ridge
E_AFAM,971.0928578548217,Ridge
M_AFAM,940.5183482156217,Ridge
E_HISP,1184.2513938620318,Ridge
M_HISP,0.0,Ridge
E_ASIAN,1088.1102539412761,Ridge
M_ASIAN,926.568456641882,Ridge
E_AIAN,613.5397222926337,Ridge
M_AIAN,627.6034776666468,Ridge
E_NHPI,1405.5863960256713,Ridge
M_NHPI,1290.4249135063376,Ridge
E_TWOMORE,963.5133822926881,Ridge
M_TWOMORE,943.0768525401592,Ridge
E_OTHERRACE,753.8834381116076,Ridge
M_OTHERRACE,132.13439937739906,Ridge
EP_NOINT,-161.86359345540066,Ridge
MP_NOINT,-277.2815669896467,Ridge
EP_AFAM,411.62277060527146,Ridge
MP_AFAM,-54.19254548297158,Ridge
EP_HISP,-319.4943226998391,Ridge
MP_HISP,0.0,Ridge
EP_ASIAN,510.0615097230697,Ridge
MP_ASIAN,-322.8625315671084,Ridge
EP_AIAN,325.390959197678,Ridge
MP_AIAN,406.68908861720155,Ridge
EP_NHPI,150.71043356966888,Ridge
MP_NHPI,450.1241804301896,Ridge
EP_TWOMORE,-421.9954857618697,Ridge
MP_TWOMORE,-129.89954868819746,Ridge
EP_OTHERRACE,108.18960817904951,Ridge
MP_OTHERRACE,91.13573307450798,Ridge
RUCC_2013,173.94826401422483,Ridge
UIC_2013,-66.41345404332117,Ridge
HPSA_PrimaryCare_2023,225.22971169698312,Ridge
HPSA_Dental_2023,225.22971169698312,Ridge
HPSA_Mental_2023,-952.0762137784963,Ridge
MDs_All_2021,1099.3185720658898,Ridge
MDs_PrimaryCare_perCap_2021,1102.1147716293976,Ridge
MDs_FamilyMed_2021,1028.0005624935486,Ridge
MDs_InternalMed_2021,1053.7850703256777,Ridge
MDs_Pediatrics_2021,1324.2326580608587,Ridge
Age_Group_Less_than_1_year,1353.3879374785688,Ridge
Age_Group_or_more_years,1058.2286763913016,Ridge
Age_Group_years,1315.3620420082232,Ridge
Payer_Court/Law_Enforcement,1289.3970450078314,Ridge
"Payer_Discharged,_transferred_to_acute_facility",1639.8821580468434,Ridge
"Payer_Discharged,_transferred_to_facility_that_provides_nursing,_custodial,_or_supportive_care",1177.5201009808131,Ridge
"Payer_Discharged,_transferred_to_long_term_acute_care_facility_(LTAC)",849.4681976962747,Ridge
"Payer_Discharged,_transferred_to_psychiatric_facility",1391.873407226547,Ridge
"Payer_Discharged,_transferred_to_rehab_facility",1486.1757058080907,Ridge
Payer_Expired,1028.020317487101,Ridge
Payer_GA,1281.1435646592984,Ridge
Payer_Hospice,1337.1753167422241,Ridge
Payer_Left_against_medical_advice,1395.404556781066,Ridge
Payer_Medicaid,1267.8365903099475,Ridge
Payer_Medicare,1371.9910434561461,Ridge
Payer_Other,392.56559778433075,Ridge
Payer_Other_government,1402.1805500630298,Ridge
Payer_Other/Unknown,961.237221739807,Ridge
"Payer_Patient_Disposition_Home,_self,_or_outpatient_care",1296.1245754664544,Ridge
Payer_Patient_Residence_State_NC,1296.1554061913803,Ridge
Payer_SC,1164.9272827488219,Ridge
Payer_TN,1357.592015257113,Ridge
Payer_Total_Number_of_Visits,1615.9675898438913,Ridge
Payer_Uninsured,1173.5037476922116,Ridge
Payer_Unknown,0.0,Ridge
Payer_VA,224.84645231549183,Ridge
Point_of_Origin_Court/law_enforcement,1183.4312494981725,Ridge
Point_of_Origin_Information_not_available,279.5105516041493,Ridge
Point_of_Origin_Newborn,0.0,Ridge
"Point_of_Origin_Transfer_from_a_SNF,_ICF,_ALF",1340.5155680200353,Ridge
Point_of_Origin_Transfer_from_a_hospital_or_other_health_care_facility,1348.140307090615,Ridge
Point_of_Origin_s_office,297.9967311312513,Ridge
Race_African_American,1151.5337094935946,Ridge
Race_American_Indian,835.7153470476968,Ridge
Race_Asian/Pacific_Islander,1256.5596793771379,Ridge
Race_Caucasian,1421.8201572511002,Ridge
Race_Ethnicity_Hispanic,1436.874182223639,Ridge
Race_Ethnicity_Non_Hispanic,461.50659879683195,Ridge
Race_Non_Hispanic,1281.173242248911,Ridge
Race_Other_Race,614.0600412026363,Ridge
Race_Unavailable,1506.2237344819846,Ridge
Race_Unknown,1609.3342637652268,Ridge
ACCESS2_age-adjusted_prevalence,129.55495613464097,Ridge
ACCESS2_crude_prevalence,-59.56471722966364,Ridge
BINGE_age-adjusted_prevalence,390.7429513167341,Ridge
BINGE_crude_prevalence,737.0134556855677,Ridge
BPMED_age-adjusted_prevalence,377.7381988652578,Ridge
BPMED_crude_prevalence,-368.4778556144779,Ridge
CANCER_age-adjusted_prevalence,194.14992689261555,Ridge
CANCER_crude_prevalence,-366.68875009800024,Ridge
CASTHMA_age-adjusted_prevalence,67.18123463441907,Ridge
CASTHMA_crude_prevalence,-30.175466145206713,Ridge
CHD_age-adjusted_prevalence,-501.7934975025807,Ridge
CHD_crude_prevalence,-549.878044411807,Ridge
CHECKUP_age-adjusted_prevalence,504.34711910361375,Ridge
CHECKUP_crude_prevalence,-77.69733062497284,Ridge
CHOLSCREEN_age-adjusted_prevalence,-162.7444621547757,Ridge
CHOLSCREEN_crude_prevalence,-353.9100442907078,Ridge
COGNITION_age-adjusted_prevalence,-157.53106939830718,Ridge
COGNITION_crude_prevalence,-270.5075763225303,Ridge
COLON_SCREEN_age-adjusted_prevalence,7.72576396519527,Ridge
COLON_SCREEN_crude_prevalence,-375.3326684601962,Ridge
CSMOKING_age-adjusted_prevalence,54.03725685938493,Ridge
CSMOKING_crude_prevalence,-23.76852917141079,Ridge
DENTAL_age-adjusted_prevalence,-46.84014394030618,Ridge
DENTAL_crude_prevalence,-20.429225581168282,Ridge
DIABETES_age-adjusted_prevalence,22.381798114699023,Ridge
DIABETES_crude_prevalence,-333.63465925808805,Ridge
DISABILITY_age-adjusted_prevalence,-306.5897399356211,Ridge
DISABILITY_crude_prevalence,-516.8916855562154,Ridge
EMOTIONSPT_age-adjusted_prevalence,-77.98161450870023,Ridge
EMOTIONSPT_crude_prevalence,34.31736108125068,Ridge
FOODINSECU_age-adjusted_prevalence,107.90612426159652,Ridge
FOODINSECU_crude_prevalence,197.99525101719374,Ridge
FOODSTAMP_age-adjusted_prevalence,142.10033921794926,Ridge
FOODSTAMP_crude_prevalence,219.62324968916354,Ridge
GHLTH_age-adjusted_prevalence,-183.49312849556355,Ridge
GHLTH_crude_prevalence,-355.60091939164016,Ridge
HEARING_age-adjusted_prevalence,-548.5080211061128,Ridge
HEARING_crude_prevalence,-587.9476294432712,Ridge
HOUSINSECU_age-adjusted_prevalence,163.19087581248337,Ridge
HOUSINSECU_crude_prevalence,329.024072365738,Ridge
INDEPLIVE_age-adjusted_prevalence,-206.54303897998588,Ridge
INDEPLIVE_crude_prevalence,-333.0107615994025,Ridge
ISOLATION_age-adjusted_prevalence,567.4483078730973,Ridge
ISOLATION_crude_prevalence,780.243929650526,Ridge
LACKTRPT_age-adjusted_prevalence,55.6628424137651,Ridge
LACKTRPT_crude_prevalence,145.95546898171634,Ridge
LPA_age-adjusted_prevalence,-471.43856984775744,Ridge
LPA_crude_prevalence,-605.0807819514027,Ridge
MAMMOUSE_age-adjusted_prevalence,1190.6278194846911,Ridge
MAMMOUSE_crude_prevalence,1133.219111221138,Ridge
MHLTH_age-adjusted_prevalence,34.74009631422521,Ridge
MHLTH_crude_prevalence,97.40853180410335,Ridge
MOBILITY_age-adjusted_prevalence,-255.441474614403,Ridge
MOBILITY_crude_prevalence,-442.5093648703838,Ridge
OBESITY_age-adjusted_prevalence,586.3257619829052,Ridge
OBESITY_crude_prevalence,634.291246150001,Ridge
PHLTH_age-adjusted_prevalence,-251.903304490988,Ridge
PHLTH_crude_prevalence,-433.77159976398207,Ridge
SELFCARE_age-adjusted_prevalence,-124.69979794913716,Ridge
SELFCARE_crude_prevalence,-264.97726223084385,Ridge
SHUTUTILITY_age-adjusted_prevalence,202.77466507110822,Ridge
SHUTUTILITY_crude_prevalence,354.4253226810161,Ridge
SLEEP_age-adjusted_prevalence,791.8213824492718,Ridge
SLEEP_crude_prevalence,820.192688397034,Ridge
STROKE_age-adjusted_prevalence,-241.77230213124028,Ridge
STROKE_crude_prevalence,-412.79651015034835,Ridge
VISION_age-adjusted_prevalence,-143.83203067381794,Ridge
VISION_crude_prevalence,-342.3025355971904,Ridge
AVG_MA_Enrollments_2023_FY,90139.24677669095,Lasso
AVG_MC_Enrollees,12408.441342982589,Lasso
AREA_SQMI,-22128.046289877788,Lasso
E_TOTPOP,5377.041987735386,Lasso
M_TOTPOP,0.0,Lasso
E_HU,-303.58794011601407,Lasso
M_HU,-6026.6679177090455,Lasso
E_HH,5213.701334535533,Lasso
M_HH,-3325.5935952821355,Lasso
E_POV150,-2337.9204239159826,Lasso
M_POV150,-398.0745555765483,Lasso
E_UNEMP,4785.098143899503,Lasso
M_UNEMP,-4245.940377521598,Lasso
E_HBURD,4590.436963407007,Lasso
M_HBURD,-5843.372643326393,Lasso
E_NOHSDP,3857.811530893037,Lasso
M_NOHSDP,-2055.9490449708273,Lasso
E_UNINSUR,6050.983476546613,Lasso
M_UNINSUR,-3640.8302116521672,Lasso
E_AGE65,-2186.218087622508,Lasso
M_AGE65,5537.379007938394,Lasso
E_AGE17,7702.57634983096,Lasso
M_AGE17,11370.520519859585,Lasso
E_DISABL,-8367.564415369774,Lasso
M_DISABL,750.8375923509269,Lasso
E_SNGPNT,2049.887767868428,Lasso
M_SNGPNT,-2585.676655480574,Lasso
E_LIMENG,7889.533325658279,Lasso
M_LIMENG,-422.28243664077866,Lasso
