"Year","StateAbbr","StateDesc","LocationName","DataSource","Category","Measure","Data_Value_Unit","Data_Value_Type","Data_Value","Data_Value_Footnote_Symbol","Data_Value_Footnote","Low_Confidence_Limit","High_Confidence_Limit","TotalPopulation","TotalPop18plus","LocationID","CategoryID","MeasureId","DataValueTypeID","Short_Question_Text","Geolocation"
"2022","NC","North Carolina","Vance","BRFSS","Prevention","Visited dentist or dental clinic in the past year among adults","%","Age-adjusted prevalence","54.1",,,"50.1","57.9","42,138","32,110","37181","PREVENT","DENTAL","AgeAdjPrv","Dental Visit","POINT (-78.4079704512629 36.3651057008362)"
"2022","NC","North Carolina","Craven","BRFSS","Disability","Hearing disability among adults","%","Age-adjusted prevalence","7.4",,,"6.6","8.3","100,874","79,170","37049","DISABLT","HEARING","AgeAdjPrv","Hearing Disability","POINT (-77.0916632156451 35.1237779325124)"
"2021","NC","North Carolina","Pamlico","BRFSS","Prevention","Taking medicine to control high blood pressure among adults with high blood pressure","%","Crude prevalence","83.5",,,"80.5","86.1","12,381","10,671","37137","PREVENT","BPMED","CrdPrv","High Blood Pressure Medication","POINT (-76.7287126546537 35.1471252533281)"
"2022","NC","North Carolina","Harnett","BRFSS","Health Risk Behaviors","Current cigarette smoking among adults","%","Crude prevalence","16.0",,,"13.9","18.3","138,832","103,786","37085","RISKBEH","CSMOKING","CrdPrv","Current Cigarette Smoking","POINT (-78.8699035439401 35.3688284194037)"
"2021","NC","North Carolina","McDowell","BRFSS","Prevention","Taking medicine to control high blood pressure among adults with high blood pressure","%","Crude prevalence","80.6",,,"78.2","82.9","44,753","36,114","37111","PREVENT","BPMED","CrdPrv","High Blood Pressure Medication","POINT (-82.0487203388744 35.6823599984024)"
"2021","NC","North Carolina","Robeson","BRFSS","Health Outcomes","High cholesterol among adults who have ever been screened","%","Age-adjusted prevalence","33.6",,,"29.7","37.6","116,663","87,156","37155","HLTHOUT","HIGHCHOL","AgeAdjPrv","High Cholesterol","POINT (-79.1037511522453 34.6404234382968)"
"2022","NC","North Carolina","Columbus","BRFSS","Health Outcomes","Obesity among adults","%","Crude prevalence","38.8",,,"31.2","46.7","49,885","39,531","37047","HLTHOUT","OBESITY","CrdPrv","Obesity","POINT (-78.6551028425544 34.2655540076522)"
"2022","NC","North Carolina","Greene","BRFSS","Prevention","Visits to doctor for routine checkup within the past year among adults","%","Age-adjusted prevalence","76.0",,,"71.8","79.9","20,211","16,362","37079","PREVENT","CHECKUP","AgeAdjPrv","Annual Checkup","POINT (-77.6758039116837 35.4849054091072)"
"2022","NC","North Carolina","McDowell","BRFSS","Health Risk Behaviors","Current cigarette smoking among adults","%","Crude prevalence","22.1",,,"19.5","24.8","44,753","36,114","37111","RISKBEH","CSMOKING","CrdPrv","Current Cigarette Smoking","POINT (-82.0487203388744 35.6823599984024)"
"2022","NC","North Carolina","Washington","BRFSS","Health-Related Social Needs","Food insecurity in the past 12 months among adults","%","Age-adjusted prevalence","23.5",,,"21.2","25.9","10,828","8,655","37187","SOCLNEED","FOODINSECU","AgeAdjPrv","Food Insecurity","POINT (-76.5770084500192 35.8231123664106)"
"2022","NC","North Carolina","Henderson","BRFSS","Disability","Mobility disability among adults","%","Crude prevalence","15.4",,,"13.5","17.3","118,106","96,745","37089","DISABLT","MOBILITY","CrdPrv","Mobility Disability","POINT (-82.4800088797413 35.336054724191)"
"2022","NC","North Carolina","Moore","BRFSS","Health-Related Social Needs","Received food stamps in the past 12 months among adults","%","Crude prevalence","8.4",,,"7.4","9.5","105,531","82,726","37125","SOCLNEED","FOODSTAMP","CrdPrv","Food Stamps","POINT (-79.4810833853778 35.3107524292018)"
"2022","NC","North Carolina","Bertie","BRFSS","Health Risk Behaviors","Short sleep duration among adults","%","Age-adjusted prevalence","43.8",,,"36.5","51.3","17,240","14,342","37015","RISKBEH","SLEEP","AgeAdjPrv","Short Sleep Duration","POINT (-76.9765261847155 36.066157443707)"
"2022","NC","North Carolina","Currituck","BRFSS","Disability","Any disability among adults","%","Age-adjusted prevalence","27.6",,,"23.8","31.4","31,015","24,131","37053","DISABLT","DISABILITY","AgeAdjPrv","Any Disability","POINT (-76.0039069482098 36.4032422089498)"
"2022","NC","North Carolina","Lee","BRFSS","Prevention","Visited dentist or dental clinic in the past year among adults","%","Crude prevalence","58.2",,,"54.3","62.1","65,476","50,217","37105","PREVENT","DENTAL","CrdPrv","Dental Visit","POINT (-79.1714912683052 35.4750989187809)"
"2021","NC","North Carolina","Jackson","BRFSS","Prevention","Cholesterol screening among adults","%","Age-adjusted prevalence","84.2",,,"81.4","86.7","42,955","36,071","37099","PREVENT","CHOLSCREEN","AgeAdjPrv","Cholesterol Screening","POINT (-83.140690459055 35.2882917929266)"
"2022","NC","North Carolina","Onslow","BRFSS","Health Outcomes","Current asthma among adults","%","Age-adjusted prevalence","9.9",,,"8.6","11.2","207,298","156,300","37133","HLTHOUT","CASTHMA","AgeAdjPrv","Current Asthma","POINT (-77.4275153859824 34.7305699378555)"
"2021","NC","North Carolina","Rutherford","BRFSS","Prevention","Cholesterol screening among adults","%","Age-adjusted prevalence","82.6",,,"79.7","85.3","64,963","52,036","37161","PREVENT","CHOLSCREEN","AgeAdjPrv","Cholesterol Screening","POINT (-81.9203691777493 35.4025792890745)"
"2022","NC","North Carolina","Granville","BRFSS","Disability","Self-care disability among adults","%","Age-adjusted prevalence","4.3",,,"4.0","4.7","61,903","49,520","37077","DISABLT","SELFCARE","AgeAdjPrv","Self-care Disability","POINT (-78.6528560993089 36.3038620044075)"
"2022","NC","North Carolina","Wake","BRFSS","Health Outcomes","Coronary heart disease among adults","%","Crude prevalence","4.9",,,"4.3","5.4","1,175,021","908,531","37183","HLTHOUT","CHD","CrdPrv","Coronary Heart Disease","POINT (-78.6503446201168 35.7900594036584)"
"2022","NC","North Carolina","Brunswick","BRFSS","Disability","Hearing disability among adults","%","Age-adjusted prevalence","7.1",,,"6.3","7.9","153,064","131,836","37019","DISABLT","HEARING","AgeAdjPrv","Hearing Disability","POINT (-78.2376597098153 34.0703788434431)"
"2022","NC","North Carolina","Gaston","BRFSS","Health Risk Behaviors","No leisure-time physical activity among adults","%","Crude prevalence","23.8",,,"19.7","28.0","234,215","182,451","37071","RISKBEH","LPA","CrdPrv","Physical Inactivity","POINT (-81.1801972591213 35.2943611535336)"
"2022","NC","North Carolina","Martin","BRFSS","Disability","Independent living disability among adults","%","Crude prevalence","11.8",,,"10.6","13.0","21,508","17,181","37117","DISABLT","INDEPLIVE","CrdPrv","Independent Living Disability","POINT (-77.1093472458262 35.8432221253514)"
"2022","NC","North Carolina","Lincoln","BRFSS","Health Risk Behaviors","No leisure-time physical activity among adults","%","Crude prevalence","24.8",,,"20.7","29.2","93,095","74,084","37109","RISKBEH","LPA","CrdPrv","Physical Inactivity","POINT (-81.2240721915513 35.4855553677493)"
"2022","NC","North Carolina","Burke","BRFSS","Health Outcomes","Depression among adults","%","Crude prevalence","24.0",,,"20.5","28.0","87,881","72,247","37023","HLTHOUT","DEPRESSION","CrdPrv","Depression","POINT (-81.70486114808 35.7494843806822)"
"2022","NC","North Carolina","Anson","BRFSS","Health Outcomes","All teeth lost among adults aged >=65 years","%","Crude prevalence","24.9",,,"20.6","29.2","22,202","17,846","37007","HLTHOUT","TEETHLOST","CrdPrv","All Teeth Lost","POINT (-80.1026872705448 34.9736529585894)"
"2021","NC","North Carolina","Ashe","BRFSS","Health Outcomes","High blood pressure among adults","%","Age-adjusted prevalence","30.0",,,"25.9","34.3","27,110","22,615","37009","HLTHOUT","BPHIGH","AgeAdjPrv","High Blood Pressure","POINT (-81.5005505989795 36.4341479679829)"
"2022","NC","North Carolina","Pitt","BRFSS","Health-Related Social Needs","Utility services shut-off threat in the past 12 months among adults","%","Age-adjusted prevalence","12.7",,,"11.3","14.3","173,542","136,973","37147","SOCLNEED","SHUTUTILITY","AgeAdjPrv","Utility Services Threat","POINT (-77.374678818702 35.5934498276118)"
"2022","NC","North Carolina","Currituck","BRFSS","Health Status","Fair or poor self-rated health status among adults","%","Crude prevalence","15.9",,,"14.0","17.8","31,015","24,131","37053","HLTHSTAT","GHLTH","CrdPrv","General Health","POINT (-76.0039069482098 36.4032422089498)"
"2022","NC","North Carolina","Duplin","BRFSS","Health-Related Social Needs","Utility services shut-off threat in the past 12 months among adults","%","Age-adjusted prevalence","12.4",,,"10.9","14.0","48,990","37,227","37061","SOCLNEED","SHUTUTILITY","AgeAdjPrv","Utility Services Threat","POINT (-77.9328634793398 34.9363853110288)"
"2021","NC","North Carolina","Wilson","BRFSS","Health Outcomes","High cholesterol among adults who have ever been screened","%","Age-adjusted prevalence","30.8",,,"26.3","35.8","78,449","60,652","37195","HLTHOUT","HIGHCHOL","AgeAdjPrv","High Cholesterol","POINT (-77.9185488995394 35.7052197078408)"
"2021","NC","North Carolina","Catawba","BRFSS","Health Outcomes","High blood pressure among adults","%","Crude prevalence","35.4",,,"31.0","39.6","163,462","128,493","37035","HLTHOUT","BPHIGH","CrdPrv","High Blood Pressure","POINT (-81.2149250535504 35.6622179779733)"
"2022","NC","North Carolina","Wayne","BRFSS","Health Outcomes","Stroke among adults","%","Crude prevalence","4.4",,,"4.0","4.8","117,286","89,675","37191","HLTHOUT","STROKE","CrdPrv","Stroke","POINT (-78.0039504800588 35.3637958601789)"
"2022","NC","North Carolina","Cumberland","BRFSS","Health Risk Behaviors","Current cigarette smoking among adults","%","Crude prevalence","14.5",,,"12.5","16.5","336,699","252,559","37051","RISKBEH","CSMOKING","CrdPrv","Current Cigarette Smoking","POINT (-78.8276708613151 35.0486561560424)"
"2022","NC","North Carolina","Iredell","BRFSS","Health-Related Social Needs","Food insecurity in the past 12 months among adults","%","Crude prevalence","13.2",,,"11.7","14.8","195,897","152,777","37097","SOCLNEED","FOODINSECU","CrdPrv","Food Insecurity","POINT (-80.8731910815794 35.8070107330188)"
"2022","NC","North Carolina","Durham","BRFSS","Health Risk Behaviors","Binge drinking among adults","%","Age-adjusted prevalence","18.6",,,"15.5","22.0","332,680","268,509","37063","RISKBEH","BINGE","AgeAdjPrv","Binge Drinking","POINT (-78.8762704368696 36.0359200892271)"
"2022","NC","North Carolina","Yadkin","BRFSS","Health Status","Frequent physical distress among adults","%","Age-adjusted prevalence","14.5",,,"12.8","16.2","37,463","29,910","37197","HLTHSTAT","PHLTH","AgeAdjPrv","Frequent Physical Distress","POINT (-80.6651545675768 36.1601990907039)"
"2022","NC","North Carolina","Ashe","BRFSS","Health Status","Fair or poor self-rated health status among adults","%","Crude prevalence","19.8",,,"17.6","22.2","27,110","22,615","37009","HLTHSTAT","GHLTH","CrdPrv","General Health","POINT (-81.5005505989795 36.4341479679829)"
"2022","NC","North Carolina","Ashe","BRFSS","Health-Related Social Needs","Lack of social and emotional support among adults","%","Age-adjusted prevalence","21.3",,,"18.1","24.8","27,110","22,615","37009","SOCLNEED","EMOTIONSPT","AgeAdjPrv","Lack of Social/Emotional Support","POINT (-81.5005505989795 36.4341479679829)"
"2022","NC","North Carolina","Tyrrell","BRFSS","Prevention","Mammography use among women aged 50-74 years","%","Crude prevalence","79.2",,,"71.5","85.3","3,365","2,644","37177","PREVENT","MAMMOUSE","CrdPrv","Mammography","POINT (-76.2078458813114 35.8180871559222)"
"2022","NC","North Carolina","Cabarrus","BRFSS","Disability","Self-care disability among adults","%","Age-adjusted prevalence","3.1",,,"2.9","3.4","235,797","177,234","37025","DISABLT","SELFCARE","AgeAdjPrv","Self-care Disability","POINT (-80.5518327021882 35.3869793087838)"
"2022","NC","North Carolina","Alexander","BRFSS","Disability","Independent living disability among adults","%","Crude prevalence","8.7",,,"7.8","9.6","36,512","29,357","37003","DISABLT","INDEPLIVE","CrdPrv","Independent Living Disability","POINT (-81.1770332718611 35.9204725331462)"
"2022","NC","North Carolina","Gaston","BRFSS","Disability","Hearing disability among adults","%","Age-adjusted prevalence","7.5",,,"6.6","8.4","234,215","182,451","37071","DISABLT","HEARING","AgeAdjPrv","Hearing Disability","POINT (-81.1801972591213 35.2943611535336)"
"2022","NC","North Carolina","Hertford","BRFSS","Health Outcomes","Coronary heart disease among adults","%","Crude prevalence","9.1",,,"8.2","10.1","20,875","17,171","37091","HLTHOUT","CHD","CrdPrv","Coronary Heart Disease","POINT (-76.9818607276757 36.3588871196747)"
"2022","NC","North Carolina","Alexander","BRFSS","Health Risk Behaviors","Short sleep duration among adults","%","Crude prevalence","33.1",,,"26.7","40.1","36,512","29,357","37003","RISKBEH","SLEEP","CrdPrv","Short Sleep Duration","POINT (-81.1770332718611 35.9204725331462)"
"2022","NC","North Carolina","Pitt","BRFSS","Disability","Any disability among adults","%","Age-adjusted prevalence","30.9",,,"27.0","34.7","173,542","136,973","37147","DISABLT","DISABILITY","AgeAdjPrv","Any Disability","POINT (-77.374678818702 35.5934498276118)"
"2022","NC","North Carolina","Gates","BRFSS","Disability","Independent living disability among adults","%","Crude prevalence","9.4",,,"8.5","10.4","10,383","8,389","37073","DISABLT","INDEPLIVE","CrdPrv","Independent Living Disability","POINT (-76.7006756971434 36.4450179921853)"
"2022","NC","North Carolina","Alamance","BRFSS","Health-Related Social Needs","Feeling socially isolated among adults","%","Crude prevalence","31.7",,,"26.9","36.6","176,353","137,937","37001","SOCLNEED","ISOLATION","CrdPrv","Social Isolation","POINT (-79.3994760246283 36.0436739846115)"
"2022","NC","North Carolina","Greene","BRFSS","Health-Related Social Needs","Lack of social and emotional support among adults","%","Age-adjusted prevalence","28.4",,,"24.6","32.3","20,211","16,362","37079","SOCLNEED","EMOTIONSPT","AgeAdjPrv","Lack of Social/Emotional Support","POINT (-77.6758039116837 35.4849054091072)"
"2022","NC","North Carolina","Robeson","BRFSS","Health Outcomes","Coronary heart disease among adults","%","Age-adjusted prevalence","8.5",,,"7.7","9.4","116,663","87,156","37155","HLTHOUT","CHD","AgeAdjPrv","Coronary Heart Disease","POINT (-79.1037511522453 34.6404234382968)"
"2022","NC","North Carolina","Polk","BRFSS","Health Outcomes","Stroke among adults","%","Crude prevalence","4.0",,,"3.6","4.4","19,986","16,898","37149","HLTHOUT","STROKE","CrdPrv","Stroke","POINT (-82.170181353608 35.2792484455477)"
"2022","NC","North Carolina","Macon","BRFSS","Health-Related Social Needs","Utility services shut-off threat in the past 12 months among adults","%","Age-adjusted prevalence","8.7",,,"7.6","10.0","38,065","31,219","37113","SOCLNEED","SHUTUTILITY","AgeAdjPrv","Utility Services Threat","POINT (-83.4217780844555 35.1506263752147)"
"2022","NC","North Carolina","Pasquotank","BRFSS","Health-Related Social Needs","Utility services shut-off threat in the past 12 months among adults","%","Crude prevalence","9.5",,,"8.4","10.8","40,938","32,327","37139","SOCLNEED","SHUTUTILITY","CrdPrv","Utility Services Threat","POINT (-76.2844399122087 36.2952169111293)"
"2022","NC","North Carolina","Iredell","BRFSS","Health Outcomes","All teeth lost among adults aged >=65 years","%","Age-adjusted prevalence","12.0",,,"9.6","14.7","195,897","152,777","37097","HLTHOUT","TEETHLOST","AgeAdjPrv","All Teeth Lost","POINT (-80.8731910815794 35.8070107330188)"
"2022","NC","North Carolina","Lenoir","BRFSS","Health Outcomes","Current asthma among adults","%","Crude prevalence","11.0",,,"9.6","12.5","54,633","42,248","37107","HLTHOUT","CASTHMA","CrdPrv","Current Asthma","POINT (-77.6409595927808 35.2387324403638)"
"2022","NC","North Carolina","Brunswick","BRFSS","Disability","Vision disability among adults","%","Age-adjusted prevalence","4.3",,,"4.0","4.8","153,064","131,836","37019","DISABLT","VISION","AgeAdjPrv","Vision Disability","POINT (-78.2376597098153 34.0703788434431)"
"2022","NC","North Carolina","Rockingham","BRFSS","Disability","Self-care disability among adults","%","Age-adjusted prevalence","4.8",,,"4.4","5.3","91,957","73,468","37157","DISABLT","SELFCARE","AgeAdjPrv","Self-care Disability","POINT (-79.7749885459399 36.3960168778977)"
"2022","NC","North Carolina","Perquimans","BRFSS","Health Outcomes","Diagnosed diabetes among adults","%","Crude prevalence","15.1",,,"13.0","17.3","13,210","10,767","37143","HLTHOUT","DIABETES","CrdPrv","Diabetes","POINT (-76.4398245484823 36.2049769828067)"
